City_Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-03-24 23:11:51,-46.1927,168.8643,61.0,76,9,3.0
1,Atuona,PF,2021-03-24 23:11:52,-9.8,-139.0333,80.33,76,98,18.57
2,San Pedro,PH,2021-03-24 23:11:52,14.35,121.0167,82.99,73,20,2.3
3,Weligama,LK,2021-03-24 23:11:52,5.9667,80.4167,75.96,89,100,5.97
4,Souillac,MU,2021-03-24 23:11:53,-20.5167,57.5167,75.2,94,20,5.75
5,Along,IN,2021-03-24 23:07:13,28.1667,94.7667,62.89,53,38,1.54
6,Busselton,AU,2021-03-24 23:11:53,-33.65,115.3333,54.61,85,0,5.82
7,Bluff,NZ,2021-03-24 23:11:53,-46.6,168.3333,61.0,76,10,3.0
8,Barrow,US,2021-03-24 23:11:53,71.2906,-156.7887,-5.8,77,1,5.75
9,Namibe,AO,2021-03-24 23:11:54,-15.1961,12.1522,72.82,80,100,3.49
10,Ushuaia,AR,2021-03-24 23:11:30,-54.8,-68.3,42.8,75,20,36.82
11,Hobart,AU,2021-03-24 23:09:02,-42.8794,147.3294,64.0,94,75,4.61
12,Darhan,MN,2021-03-24 23:11:55,49.4867,105.9228,30.94,81,100,2.55
13,Chokurdakh,RU,2021-03-24 23:11:55,70.6333,147.9167,-16.67,97,99,5.88
14,Tasiilaq,GL,2021-03-24 23:11:55,65.6145,-37.6368,8.6,56,75,11.5
15,Atar,MR,2021-03-24 23:11:56,20.5169,-13.0499,81.18,15,16,3.4
16,Jamestown,US,2021-03-24 23:11:56,42.097,-79.2353,64.4,55,75,12.82
17,Port-Cartier,CA,2021-03-24 23:11:57,50.0334,-66.8654,39.2,41,75,21.85
18,Saint George,US,2021-03-24 23:11:01,37.1041,-113.5841,63.0,16,1,10.36
19,Birao,CF,2021-03-24 23:11:57,10.2849,22.7882,83.05,38,23,3.06
20,Remiremont,FR,2021-03-24 23:11:57,48.0175,6.5882,41.0,81,0,4.61
21,Kapaa,US,2021-03-24 23:11:58,22.0752,-159.319,79.0,83,75,18.41
22,Butaritari,KI,2021-03-24 23:11:58,3.0707,172.7902,81.46,80,68,17.4
23,Beloha,MG,2021-03-24 23:11:58,-25.1667,45.05,67.15,90,0,3.53
24,Albany,US,2021-03-24 23:11:59,42.6001,-73.9662,52.0,83,100,1.99
25,Sepolno Krajenskie,PL,2021-03-24 23:11:59,53.452,17.5317,41.0,77,21,1.9
26,Saint-Philippe,RE,2021-03-24 23:11:59,-21.3585,55.7679,77.0,78,0,6.91
27,Kruisfontein,ZA,2021-03-24 23:12:00,-34.0033,24.7314,70.0,81,100,4.0
28,Caravelas,BR,2021-03-24 23:12:00,-17.7125,-39.2481,75.79,81,0,6.11
29,Rikitea,PF,2021-03-24 23:12:00,-23.1203,-134.9692,79.54,67,1,12.82
30,Ostrovnoy,RU,2021-03-24 23:07:01,68.0531,39.5131,35.96,91,100,23.04
31,Ust-Maya,RU,2021-03-24 23:12:00,60.4167,134.5333,-11.54,99,100,0.85
32,Avarua,CK,2021-03-24 23:12:01,-21.2078,-159.775,86.0,79,75,18.41
33,Banda Aceh,ID,2021-03-24 23:12:01,5.5577,95.3222,77.99,81,100,6.64
34,Tuktoyaktuk,CA,2021-03-24 23:12:01,69.4541,-133.0374,1.4,71,75,11.5
