City_Id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Aswan,EG,67.42,clear sky,24.0934,32.907,Nuba Nile
1,Touros,BR,73.4,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
2,Casma,CL,66.2,clear sky,-41.0082,-73.1244,Hospedaje Casma
3,Port Alfred,ZA,68.56,broken clouds,-33.5906,26.891,The Halyards Hotel
4,Berwick,US,70.0,overcast clouds,41.0545,-76.2333,The White Birch Inn B & B
5,Hermanus,ZA,73.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Bethel,US,73.4,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
7,Antofagasta,CL,73.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
8,Albany,US,71.01,broken clouds,42.6001,-73.9662,
9,Mar Del Plata,AR,66.2,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Port Elizabeth,ZA,68.0,scattered clouds,-33.918,25.5701,39 On Nile Guest House
11,Carnarvon,AU,71.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
12,Ambilobe,MG,74.23,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
13,Kruisfontein,ZA,68.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
14,Alausi,EC,69.8,light rain,-2.2,-78.8333,Hotel Europa
15,Castro,BR,67.69,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
16,Atambua,ID,73.6,heavy intensity rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
17,Tshikapa,CD,68.52,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
18,Sao Filipe,CV,70.47,scattered clouds,14.8961,-24.4956,Tortuga B&B
19,Porto De Moz,BR,74.97,heavy intensity rain,-1.7483,-52.2383,Dormitório labelle
20,Guerrero Negro,MX,68.41,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
21,Beloha,MG,71.4,clear sky,-25.1667,45.05,
22,Kongolo,CD,70.36,moderate rain,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
23,Palmer,US,73.0,broken clouds,42.1584,-72.3287,Wedgewood Motel
24,Tessalit,ML,73.24,clear sky,20.1986,1.0114,
25,Chuy,UY,73.65,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
26,Saharsa,IN,71.65,clear sky,25.8833,86.6,SPOT ON 61627 Golden Plaza SPOT
27,Inhambane,MZ,74.12,clear sky,-23.865,35.3833,Oceano
28,Montes Altos,BR,74.03,moderate rain,-5.8333,-47.0667,Hotel e Restaurante Manaaim
29,Namibe,AO,73.45,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
30,Plymouth,US,69.01,scattered clouds,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
31,Tezu,IN,71.8,broken clouds,27.9167,96.1667,Circuit House
32,Garowe,SO,69.44,clear sky,8.4054,48.4845,Curubo Hotel
33,Gamba,GA,74.7,light rain,-2.65,10.0,
