City_Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Souillac,-20.5167,57.5167,73.4,100,20,4.61,MU,few clouds
1,Cayenne,4.9333,-52.3333,80.01,88,20,2.3,GF,few clouds
2,Bluff,-46.6,168.3333,63.0,73,11,3.0,NZ,few clouds
3,Yellowknife,62.456,-114.3525,8.6,52,1,9.22,CA,clear sky
4,Butaritari,3.0707,172.7902,81.91,79,25,16.91,KI,scattered clouds
5,Grand Gaube,-20.0064,57.6608,77.0,87,24,1.99,MU,few clouds
6,Bredasdorp,-34.5322,20.0403,64.4,88,99,9.22,ZA,overcast clouds
7,Acapulco,16.8634,-99.8901,82.4,65,40,8.05,MX,scattered clouds
8,Geraldton,-28.7667,114.6,69.8,52,0,12.66,AU,clear sky
9,Goundam,16.4145,-3.6708,77.83,8,10,12.39,ML,clear sky
10,Turukhansk,65.8167,87.9833,20.21,95,100,9.55,RU,light snow
11,Vaxjo,56.8777,14.8091,44.6,87,90,8.05,SE,light rain
12,Norman Wells,65.282,-126.8329,10.4,56,75,10.36,CA,broken clouds
13,Castro,-24.7911,-50.0119,65.21,88,61,2.8,BR,broken clouds
14,Pudozh,61.8099,36.5345,34.18,95,100,10.2,RU,overcast clouds
15,Ravar,31.2656,56.8055,69.98,22,86,8.39,IR,overcast clouds
16,Najran,17.4924,44.1277,68.0,19,0,5.66,SA,clear sky
17,Duluth,46.7833,-92.1066,37.4,75,90,5.75,US,overcast clouds
18,Dillon,34.4166,-79.3712,69.8,73,1,3.44,US,clear sky
19,Portland,45.5234,-122.6762,48.2,81,90,12.66,US,overcast clouds
20,New Norfolk,-42.7826,147.0587,63.0,70,100,3.0,AU,overcast clouds
21,Alofi,-19.0595,-169.9187,86.0,70,75,6.91,NU,light rain
22,Chapais,49.7834,-74.8492,46.4,49,90,5.75,CA,overcast clouds
23,Airai,-8.9266,125.4092,71.96,66,50,2.17,TL,scattered clouds
24,Hirara,24.8,125.2833,71.6,68,20,10.36,JP,few clouds
25,Punta Arenas,-53.15,-70.9167,48.2,71,40,21.85,CL,scattered clouds
26,Sao Filipe,14.8961,-24.4956,71.67,74,1,16.69,CV,clear sky
27,Vaini,-21.2,-175.2,78.62,81,100,25.1,TO,moderate rain
28,Beloha,-25.1667,45.05,66.18,91,19,4.41,MG,few clouds
29,Rikitea,-23.1203,-134.9692,79.45,73,10,14.43,PF,clear sky
30,Pisco,-13.7,-76.2167,68.0,83,0,17.27,PE,clear sky
